"PASSENGERS","DISTANCE","UNIQUE_CARRIER","UNIQUE_CARRIER_NAME","ORIGIN_AIRPORT_ID","ORIGIN","ORIGIN_CITY_NAME","DEST_AIRPORT_ID","DEST","DEST_CITY_NAME","YEAR","MONTH",
2740.00,1669.00,"WN","Southwest Airlines Co.",11032,"CUN","Cancun, Mexico",11292,"DEN","Denver, CO",2021,2,
2740.00,5036.00,"DL","Delta Air Lines Inc.",10397,"ATL","Atlanta, GA",11651,"FCO","Rome, Italy",2021,5,
2741.00,1553.00,"VB","Aeroenlaces Nacionales, S.A. de C.V. d/b/a VivaAerobus",12892,"LAX","Los Angeles, CA",13252,"MEX","Mexico City, Mexico",2021,5,
2742.00,1404.00,"NK","Spirit Air Lines",13218,"MDE","Medellin, Colombia",11697,"FLL","Fort Lauderdale, FL",2021,2,
2744.00,1222.00,"UA","United Air Lines Inc.",14153,"PLS","Providenciales, Turks and Caicos Islands",12264,"IAD","Washington, DC",2021,5,
2745.00,1384.00,"AC","Air Canada",16217,"YUL","Montreal, Canada",11697,"FLL","Fort Lauderdale, FL",2021,1,
2745.00,1009.00,"B6","JetBlue Airways",14739,"SDQ","Santo Domingo, Dominican Republic",13204,"MCO","Orlando, FL",2021,7,
2747.00,4406.00,"AR","Aerolineas Argentinas",13303,"MIA","Miami, FL",11625,"EZE","Ezeiza, Argentina",2021,1,
2747.00,3855.00,"LH","Lufthansa German Airlines",12478,"JFK","New York, NY",11760,"FRA","Frankfurt, Germany",2021,5,
2747.00,1506.00,"UA","United Air Lines Inc.",12264,"IAD","Washington, DC",14293,"PUJ","Punta Cana, Dominican Republic",2021,5,
2748.00,2090.00,"VB","Aeroenlaces Nacionales, S.A. de C.V. d/b/a VivaAerobus",13252,"MEX","Mexico City, Mexico",12478,"JFK","New York, NY",2021,5,
2748.00,1719.00,"AA","American Airlines Inc.",12990,"LIR","Liberia, Costa Rica",11057,"CLT","Charlotte, NC",2021,4,
